L
Kakashi Hatake
Kurz Weber
Bum Yoon
Wilhelm Van Astrea
Koko Hekmatyar
Naoya Shirakawa
Mori Jin
Mashiro Kuna
Chrono
Aerith Gainsborough
Yuki-Onna
Hakaze Kusaribe
Kagura
Rachnera Arachnera
Capricorn
Wolf
Kanato Sakamaki
Kotaro Kashima
Leeron Littner
Ayumi Takahara
Kino
Elaine
Miria
Saeko Tanaka
Kazuya Kujo
Mai Kawasumi
Eruka Frog
Nico Yazawa
Ruth
King
Ene
Hiro Sohma
Mare Bello Fiore
A
Ren Jinguuji
Sakura Yamauchi
Demon King
Falco Grice
Himari Noihara
China
Hikaru Kusakabe
Claudia Hoggins
Midari Ikishima
Sakura Hanazono
Nice Holystone
Kae Serinuma
Chane Laforet
Kagura Mikazuchi
Kazuma Sohma
Deishuu Kaiki
Runa Yomozuki
Pip Bernadotte
Superbi Squalo
Hanyuu
Millianna
Morel Mccarnathy
Melissa Mao
Diablo
Kyohei Takano
Eda
Mahiru Inami
Suika
Macao Conbolt
Kazehana
Mayumi Saegusa
Haruka Lovely Morishima
Kougyoku Ren
Anna Kyoyama
Ruby Toujou
Takashi Mitsuya
Shichika Yasuri
Nero
Arthur
Chihiro Furuya
Tina Sprout
Renge Miyauchi
Gary Oak
Wakana Gojo
Hashirama Senju
Alice Zuberg
Shuu Maiko
Rolo Lamperouge
Mirelia Q. Melromarc
Kodama
Hakurou
Tae Shimura
Yoru
Mr. Popo
Chikara Ennoshita
Lingyin Huang
Denji
Taichi'S Agumon
Seiya Kanie
Kazari Uiharu
Chifuyu Orimura
Ai Haibara
Mariko Kurama
Ladd Russo
Hinagiku Katsura
Koichi Hirose
Vanessa Enoteca
Machi Komacine
Yukimura Kusunoki
Coby
Ren Honjo
Crusty
Kurogiri
Bepo
Melody
Ippo Makunouchi
Amidamaru
Hibiki Laytis
Nino
Kishou Arima
Himawari Uzumaki
Hatchan
Souhei Sasahara
Kasumi Miwa
Claude De Alger Obelia
Mao Nonosaka
Rem Galeu
Drocell Cainz
Muru Muru
Matsu
Kaya Miyoshi
Katsuyu
Yomotsu Hirasaka
Kiyotaka Ishimaru
Gai Tsutsugami
Levi Kazama
Gracia Hughes
Makina
Karin Maaka
Horologium
Twice
Ren Ichimoku
Austria
You Kasukabe
Kenjiro Shibazaki
Ferid Bathory
Sarada
Iris
Meryl Stryfe
Arthur Pendragon
Kazuichi Arai
Cocytus
Megumi Noda
Masato Hijirikawa
Akatsuki Ousawa
Literary Girl
Scorpio
Tomohito Sugino
Kotetsu T. Kaburagi
Toboe
Shenhua
Papi
Glen Radars
Isane Kotetsu
Sode No Shirayuki
Mini
Arata Kasuga
Aiichiro Nitori
Recovery Girl
Nanako Kuroi
Mina Tepes
Pieck Finger
Korin
Masrur
Inaho Kaizuka
Hajime Saitou
Mr. Chang
Yamraiha
Yukine Miyazawa
Yuuya Mochizuki
Kazuya Shibuya
Kumoko
Sousuke Yamazaki
Buccaneer
Liz T. Blood
Shirahoshi
Takuma Ichijo
Takehisa Hinawa
Yuka
Hikari'S Tailmon
Mewtwo
Manami Tamura
Cecilia Alcott
Lina Inverse
Ebisu
Ferris Eris
Beatrice
Hisako
Colonnello
Morisuke Yaku
Kyuubei Yagyuu
Assassin
Dragon
Aoi Kanzaki
Iruma Suzuki
Youichi Tanaka
Ryoushi Morino
Sora Kasugano
Jolyne Kujo
Ae-3803
Tadashi Karino
Misty'S Togepi
Yuuta Okkotsu
Free
Ichika Orimura
Waver Velvet
Tsukimi Kurashita
Koji Koda
Bak Chang
Yakul
Najimi Osana
Ohana Matsumae
Renshou Sorinozuka
Yukina Himeragi
Boruto Uzumaki
Ichika Nakano
Hotaru Haganezuka
Adlet Mayer
Minami Iwasaki
Miu Fuurinji
Marco
Juugo
Yamato Ishida
Ronald Knox
Kizaru
Shizuku Murasaki
Banri Watanuki
Retsuko
Luka Crosszeria
Kakeru Naruse
Yukito Kunisaki
Tsume
Maple
Kisara Tendo
Celestial Spirit King
Shizuku Sangou
Mahiro Fuwa
Irina Shidou
Louis
Tenma Tsukamoto
Mai Minakami
Akaza
Kusano
Tao Ren
Astraea
Akira Hattori
Kojou Akatsuki
Sakura
Father
Kaien Shiba
Takayuki Furuichi
Ryuu Yamada
Cattleya Baudelaire
Iggi
Anna Nishikinomiya
Hare Menjou
Tadakuni
Reisi Munakata
Hikari Yagami
Reine Murasame
Ringo Noyamano
Hiroko Seto
Asuka Connell
Ai Shindo
Yu Narukami
Satomi Murano
Lenessia Erhart Cowen
Ryouta Suzui
Momotarou Mikoshiba
Kaguya Sumeragi
Iceburg
Akari Akaza
Lilith Asami
Miranda Lotto
Cerea
Jiwon Ahn
Zeniba
Rito Yuuki
Priestess
Ryouma Ichijou
Tashigi
Hayate Gekkou
Ging Freecss
Zange Natsume
Nozomi Toujou
Gakushu Asano
Miho Azuki
Aika Fuwa
Ritsu Sohma
Ganju Shiba
Komoe Tsukuyomi
Kurumi Ebisuzawa
Anju Maaka
Sylvie
Uzu Sanageyama
Isami Aldini
Ryuu Tsuji
Chizuru Minamoto
Sayoko Shinozaki
Suigintou
Wrath
Akane Yanagi
Muzan Kibutsuji
Kyoshiro Tohdoh
Kokomi Teruhashi
Vato Falman
Konekomaru Miwa
Asuka Kudou
Tomo Takino
Porlyusica
Kaoru Yamazaki
Judeau
Mamoru Takamura
Braz D. Blood
Takato Saijyo
Kyon'S Sister
Sir Nighteye
Megumi Yamamoto
Eishiro Sugata
Byakuran
Yukari Tanizaki
Takeyama
Tetsutetsu Tetsutetsu
Makoto Sawatari
Ritsuka Aoyagi
Takatoshi Tsuda
High Elf Archer
Aki Hayakawa
Kotori Minami
Momoe Sawaki
Haruyuki Arita
Kaname Tanuma
Overhaul
Vincent Law
Professor Samuel Oak
Touya Kinomoto
Heymans Breda
Will A. Zeppeli
Paulie
Henrietta
Riko
Cthuko
Kuro
Ran Mori
Taiju Ooki
Felli Loss
Kintaro Oe
Keigo Asano
Shuuko Murao
Hajime Saitou
Belphegor
Megumi Shimizu
Misha Necron
Yuma Isogai
July
Urd
Arachne Gorgon
Satsuki Kusakabe
Romeo Conbolt
Kukai Soma
Asami Oikawa
Mio Naruse
Kokoro
Makomo
Yutaka Kobayakawa
Kirei Kotomine
Shinku
Haruka Tenoh
Ryoma Echizen
Mero Furuya
Myne
Penelope Eckhart
Don Kanonji
The Forest Spirit
D
Martel
Aoi Yamada
Yuuji Kazami
Tatsuma Sakamoto
Thorkell
Teuchi
Haruka Kotoura
Gin
Tsukasa Yuzaki
Anya Alstreim
Ryouko Sakaki
Nana Asta Deviluke
Hisako Arato
Miyoko Sahara
11-Nov
Atsumu Matsuyuki
Yamato'S Gabumon
Momiji
Shun Ibusaki
Sagittarius
Myucel Folan
Hans Humpty
Atsumu Miya
Naru Narusegawa
Iori Nagase
Alicia Rue
Android 16
Sen Yarizui
Muta
Itori
Zapp Renfro
Msyu
Diablo
Arsene Lupin Iii
Shizuka Nekonome
Nnoitra Jiruga
Afro Samurai
Nike Lemercier
Kohaku
Yachiyo Todoroki
Margery Daw
Yuzuko Aihara
Rivalz Cardemonde
Leone Abbacchio
Seiya Ryuuguuin
Sia
Yukino Aguria
Rei Sagara
Sakunosuke Oda
Rika Kawai
Yue
Fukasaku
Xanxus
Frankenstein
Erica Blandelli
Lisara Restall
Yunyun
Tessai Tsukabishi
Aleister Chamber
Mitsuyoshi Misawa
Kaname Tousen
Taketora Yamamoto
Akira Toudou
Azazel
Hephaistos
Haru
Lisa Yadomaru
Selim Bradley
Yu Yang
Sagaru Yamazaki
Spain
Tohru Mutou
Klaus V. Reinherz
Carue
Layla Heartfilia
Chiyuri Kurashima
Yuki Yoshino
Hirotaka Wakamatsu
Shirou Ogami
Takeru'S Patamon
Clara Valac
Isuzu Sohma
Julie Sigtuna
Coco
Saki Watanabe
Hana Midorikawa
Ukoback
Sayu Yagami
Medicine Seller
Ichigo Momomiya
Suou Pavlichenko
Evangelion Unit 01
Kinrou
Alice Asmodeus
Ryoji Kaji
Io Otonashi
Snake
Urumi Kanzaki
Sosuke
Magna Swing
Sanemi Shinazugawa
Dende
Ibiki Morino
Umi Sonoda
Moeka Kiryuu
Ai Nanasaki
Ririka Momobami
Manami Okuda
Bartolomeo
Kineshi Hairo
Hiroomi Souma
Megumi Hanajima
Reiko Mikami
Truth
Yukio Kasamatsu
Makoto Isshiki
Linda
Run Elsie Jewelria
Endorsi Jahad
Miki
Beerus
Shera L. Greenwood
Haruki Shiga
Tama
Rin Nohara
Rob Lucci
Ahiru Arima
Blue
Fujiko Etou
Rikuo Nura
Junta Azumaya
Laurent Thierry
Ichiru Kiryu
Hayate Ayasaki
Kaoru Tanamachi
Alice
Arin Kannazuki
Kaya Irimi
Jack Vessalius
Chief Kurama
Oota
Wolfgang Grimmer
Numa No Himemiko
Merry Nightmare
Hotaru Tomoe
Tuka Luna Marceau
Fran
Eli Ayase
Natsu Hinata
Reinhard Van Astrea
Shouta Kisa
Blanca
Heiji Hattori
Nina Fortner
Kazeshini
Ugetsu Murata
Sypha Belnades
Natsume Hyuuga
Rico Brzenska
Takeshi Aiza
Kou Yukina
Keith Sadies
Ukyo
Nico
Ozen
Pan
No. 13
Sherlock Holmes
Toma
Ibuki Mioda
Ichiya Vandalay Kotobuki
Tomoe Koga
Gordon Agrippa
Fuutarou Uesugi
Suiseiseki
Kinjirou Sakamachi
Clear
Best Jeanist
Dong-Gyun Nam
Gouhin
Rudolph Von Stroheim
Chocolat
Yui Funami
Ledo
Mitsuba Sangu
Eina Tulle
Echidna
Freya
Balsa
Primula
Girl
Zeno Zoldyck
Shougo Sena
Kazuma Mikura
Gajeel
Enel
Kei Kurono
Kotetsu
Gundham Tanaka
Hyouka Fuwa
Kaname Ougi
Wing
Hajime Hinata
Minoru Shiraishi
Yoite
Doranbolt
Banri Tada
Yusa
Jack
Riko Saikawa
Yotsugi Ononoki
Nobara Yukinokouji
Kiyoshi Fujino
Mitsuki
Naoto Tachibana
Hungary
Souta Hori
Lunch
Kai Takemura
Vicious
Mei Kusakabe
Koujirou Shinomiya
Noiz
Shamisen
Ikuto Sarashina
Aya Kominato
Hinano Kurahashi
Toshizou Hijikata
Ai Mikami
Jericho
Ayano Sugiura
Megumi Kato
Amelie Azazel
Misao Kusakabe
Renton Thurston
Orion
Viktoriya Ivanovna Serebryakov
Takeru Takaishi
Naoto Shirogane
Hiroto Maehara
Seijuro Hiko
Slicer Brothers
Mondo Oowada
Rihito Sajou
Kazuma Ikezawa
Manda
Tayuya
Souji Okita
Kinji Tooyama
Rinnosuke Mitobe
Ugo
Nayuki Minase
Yuriko Takagi
Tomoki Kuroki
Max Lobo
Maika Sakuranomiya
Mimosa Vermillion
Rinka Hayami
Rita Ainsworth
Joker
Mumei
Misuzu Kusakabe
Atsushi Yadomi
Yukinori Shinohara
Poland
Naoya Nifuji
Daisuke Niwa
Toranosuke Miyamura
Rosette Christopher
Sun Seto
Haineko
Kagaya Ubuyashiki
Yomi Isayama
Sirzechs Lucifer
Taichi Yaegashi
Sayaka Maizono
Stiyl Magnus
Shiroyasha
Lord Genome
Spanner
Zwei
Kenjirou Minami
Miyuki Irie
Rui Tachibana
Babu
Yuffie Kisaragi
Genkai
Nerine
Shinobu Takatsuki
Takagi
Nagoya
Arcueid Brunestud
Yoichi Hiruma
Yui Kiriyama
Chie Satonaka
Simon
Laboon
Li Huan
Inukashi
Yusuke Asahina
Lieselotte Sherlock
Hamsuke
Michiru Kagemori
Honoka Kousaka
Hidetora Tojo
Kyousuke Hori
Moriko Morioka
Gyoumei Himejima
Hige
Livius I
Ryou Asuka
Nurse Joy
Soubi Agatsuma
Maria Naruse
Angela Leon
Sarasvati
Furano Yukihira
Melissa Foddebrat
Chaika Trabant
Katsuhira Agata
Kiri Komori
Chiaotzu
Shuichi Aizawa
Senko
Takehito Morokuzu
Shio Sakaki
Darui
Diana Cavendish
Abigail Jones
Chamber
Hone Onna
Shiori Sekine
Michiru Kaioh
Yukito Tsukishiro
Tim Marcoh
Omoi
Erika
Houka Inumuta
Nagi Sanzenin
Ayaka Shindo
Ein
Akane Tendo
Lecter
Syr Flover
Mira Nygus
Kiko Kayanuma
Neito Monoma
Dokja Kim
Vladilena Milizé
Kensei Muguruma
Yui Kurata
Hitch Dreyse
Tifania Westwood
Tsumugu Kinagase
Sing Soo Ling
Saburo Togusa
Tamako Kitashirakawa
Rindou Kobayashi
Hibana
Kakeru Sengoku
Kanae Kotonami
Souta Takanashi
Ikkyu
Mahito
World Martial Arts Tournament Announcer
Lal Mirch
Aisa Himegami
Yakumo Saitou
Chihiro Kosaka
Enji Koma
Miko Iino
Mashiro Mitsumine
Kagura
You Miyagi
Reiji Sakamaki
Platelet Leader
Kaede Fuyou
Grumman
Jinta Harakari
Erika Shinohara
Uno
Daewi Han
Utaha Kasumigaoka
Satanichia Kurumizawa Mcdowell
Heinrich Lunge
Minako Ayuzawa
Midnight
Nozomu Nanashima
Kei Shirogane
Neiru Aonuma
Switzerland
Yohan Go
Kazuya Hiramaru
Tsubaki Asahina
Zeff
Shalnark
Jean
Amane Suou
Yuuichi Aizawa
Sister
Chelia Blendy
Jian Yi
Aiko Kudo
Uzume
Makoto Takiya
Fenneko
Yuniko Kouzuki
Kensei Ma
Roka Shibasaki
Canaan
Mikage Celestine
Arashiko Yuuno
Ryuichi Kashima
Myoga
Officer Jenny
Rin Hoshizora
Shino Kuribayashi
Mother Spider Demon
Masuzu Natsukawa
Kobeni Yonomori
Eld Gin
Mio Chibana
Yuuki Anzai
Yui Narumi
Yoh Takami
Pina Co Lada
Ruka Sarashina
Flare Corona
Shima Nishina
Atsushi Sendo
Jun Yamamoto
Ayame Ikaruga
Ringo Akai
Sistine Fibel
Aiko Mutou
Haruka Nanami
Alex Benedetto
Ghislaine Dedoldia
Shadow
Echo
Eiri Yuki
Shuuya Kano
Chloe Aubert
Touga Yagari
Berserker
Wakaba Mine
Cecil Aijima
Guila
Yatora Yaguchi
Shotaro Kaneda
Senbonzakura
Jonah
Helen
Sakura Kono
Shinei Nouzen
Sora Takenouchi
Chachamaru
Naraku
Kenji Koiso
Yomi Takanashi
Kagerou Shoukiin
Ryouko Fueguchi
Catherine Elle Armstrong
Chisaki Hiradaira
Ryouma Terasaka
Sanae Mizuno
Chibi-Usa
Horohoro
Shinichi Chiaki
Myuu Ousawa
Asagi Aiba
Hiyori Tamura
Mai Taniyama
Singing Jigglypuff
Mokke
Krone
Yami Bakura
Ryuunosuke Chiba
Kuroneko
Wilhelmina Carmel
Shrine Priestess
Shea Haulia
Yasuhiro Hagakure
Ginrou
Shisui Uchiha
Byul Park
Koshirou Izumi
Tooru Yukimura
Zenzo Hattori
Sekai Saionji
Haida
Mereoleona Vermillion
Yuzuriha Ogawa
Millennium Earl
Hibird
Nana Shimura
Yosuke Hanamura
Angel
Kisumi Shigino
Pri-Pri-Prisoner
Junko Kaname
Nice
Lisa Mishima
Silky
Kedama
Gan Fall
Tachikoma
Niko Niiyama
Sumi Sakurasawa
Nobu
Turtle
Tsubomi Kido
Setsuna F. Seiei
Arrietty
Yuzuru Yamai
Iroha Isshiki
Metal Bat
Nojiko
Takao
Mujika
Toua Tokuchi
Maya Natsume
Kanade Oe
Yaya
Mikoto Yamato
Chiaki Yoshino
Kokkuri-San
Utau Hoshina
Tsukasa Ayatsuji
Medaka Kurokami
Zombina
Ako Tamaki
Jin-Ho Yoo
Chinami Oka
Serara
Kon
Kaguya Yamai
Heathcliff
Shintaro Kisaragi
Suguru Geto
Saya Kisaragi
Minori
Tanjuurou Kamado
Jirou Mochizuki
Aoshi Shinomori
Kobato Hanato
Mochizou Ooji
Mei Aihara
Yukiko Kanzaki
Ryoko Hakubi
Nora Arendt
Layfon Alseif
Fakir
Maho Minami
Minato Sahashi
Sojiro Izumi
Ik-Su
Zushi
Dandy
Hikari Takanashi
Sylphiette
Rundel Haus Code
Dojin Park
Kouko Ibuki
Kaku
Aleksander Nikolaevich Hell
Masamune Date
Greece
Kureo Mado
Otto Suwen
Kazuomi Ohga
Kaho Hinata
Akira Yoshii
Remi Ayasaki
Kanna
Eris
Mikage
Nagato
Nana Ebina
Haebom Seo
Johannes Krauser Ii
Fuyuhiko Kuzuryuu
Genya Shinazugawa
Hazuki Shimada
Ryo Bakura
Jewelry Bonney
Marco Ikusaba
Guts
Kayo Senju
Hatz
Battler Ushiromiya
Kanako Sumiyoshi
Satoru Asahina
Hawk'S Mother
Naho Takamiya
Camie Utsushimi
Kisara Nanjo
Azusa Azuki
Gin Doujima
Aoba Seragaki
Shizuko Kaga
Rei Kiriyama
Kazuichi Banzou
Hayato Kamitani
Nanashi
Yahiko Myojin
Kimihito Kurusu
Christophe Giacometti
Yume
Sentarou Kawabuchi
Maria Ishida
Shiori
Ginei Morioka
Kate Takayama
Mitsuki Bakugo
Ritsuko Akagi
Sailor Pluto
Mikoto Urabe
Zeke
Kanji Tatsumi
Mariya Shidou
Ergo Proxy
Keita Suminoe
Seishin Muroi
Ruijerd Superdia
Makoto Edamura
Rokurouta Sakuragi
Togusa
Natsume Asahina
Jaken
Schneizel El Britannia
Rin Asogi
Utena Tenjou
Myung-Dae Kim
Na-Kyum Baek
Reki
Otose
Kou Ichinomiya
Chitose Ikeda
Bankotsu
Setsuko
Ren
Hao
Shin Wolford
Zora Ideale
Berserker
Shinji Koganei
Julis-Alexia Von Riessfeld
Yuki Takeya
Taesung Jo
Czeslaw Meyer
Tsukumo
Eugeo
Fuyumi Todoroki
Lirin
Luck Gandor
Kent
Schwi Dola
Kazuya Miyuki
Oruo Bozad
Grey
Miku
Evangeline A.K. Mcdowell
Guild Girl
Jet
Wham
Haruno Yukinoshita
Hajime Sugoroku
Nobuna Oda
Anemone
Valmet
Onikiri
Saki Nikaidou
Kaede
Antoinette
Mayu Arita
Gendo Ikari
Chihiro Sengoku
Chris
Taihei Doma
Hanabi Yasuraoka
Ouka Yuuouji
Jou'S Gomamon
Nikaido
An Onoya
Sakie Satou
Alastor
Noi
Motoko Aoyama
Natsuki Shinohara
Marl
Yumi Azusa
Yusuke Fujisaki
Amy
Joker
Ritsuko Kunihiro
Ringo Tsukimiya
Hanabi Hyuga
Pedro Martinez
Cobra Nefertari
Kazuyoshi Usui
Hotaru Tachibana
Kami
Hime Onizuka
Meroune Lorelei
Tsubaki Kasugano
Ye Xiu
Deneve
Kirimi Nekozawa
Finland
Azusa Asahina
Ursula Callistis
Ritsu Kawai
Hayato Fuurinji
Kosuke Kira
Miss Lady
Cordelia Gallo
Motoharu
Yuki Nonaka
Miharu Rokujou
Hiroshi Kido
Katakuri Charlotte
Sasha Necron
Lithuania
Yukiko Amagi
Lotte Yanson
Slaine Troyard
Homura
Roswaal L. Mathers
Puar
Kyouko Shirafuji
Miho Amakata
Rider Of Black
Itsuki Sumeragi
Charlotte Roselei
Koenma
Edgar J. C. Ashenbert
Miya Asama
Mayu
Satone Shichimiya
Pesche Guatiche
Akari Kirishima
Akira Kaburagi Regendorf
Ougai Mori
Yui Tamura
Rin Shima
Paninya
Szayel Aporro Grantz
Kaiji Ito
Kana Minami
Yuusuke Igarashi
Lupusregina Beta
Ikoma
Adam Blade
Tokiko Tsumura
Sweden
Junpei Kousaka
Haru Miura
Pakunoda
Ren Kaidou
Mirko
Kotoko Aihara
Paula
Fuegoleon Vermillion
Hayato Shinomiya
Ryuunosuke Kurosaki
Ichika Takatsuki
Hakuya Mitsumine
He Tian
Tsumugu Kihara
Elliot Nightray
Kotone Kirishima
Saku Hagita
Shuumei Sasaki
Osamu Miya
Ada Vessalius
Seita
Charlotte Hazelrink
Latifah Fullanza
Daisuke Jigen
Taiga Fujimura
Hanayo Koizumi
Basara Toujo
Natsume Tsuchimikado
Gugu
Keigo Kurusu
Eddie
Michiko Malandro
Jura Nekis
Kafuka Fuura
Hatsune Otonashi
Gauche Adlai
Honoka
Doll
Kurumi Saiki
Ninja Ninja
Maria
Basil
Motoharu Tsuchimikado
Kish
Sheeta
Grayfia Lucifuge
Nodoka Toyohama
Conis
Albert James Moriarty
Natsuru Senou
Kouki'S Mother
Isuzu
Little Ogre
Takumi Fujiwara
Pazu
Ryoga Hibiki
Louis Asahina
Manaka Mukaido
Masamune Usami
Sukuyo Mankanshoku
Zhan Zhengxi
Shinichiro Tamaki
Excel
Wiz
Ibara Shiozaki
Mitsuru
Mizuiro Kojima
Jeanne D'Arc
Toji Suzuhara
Kaede Mizuno
Touko Aozaki
Bus Driver
Tatsuji Chibiki
Soo-Won
Castor
Ranko Saouji
Dead Master
Kohina Hiruko
Chain Sumeragi
Hifumi Takimoto
Labrador
Toto Sakigami
Ren
Dr. Hiriluk
Kaiman
Miche Zacharius
Ristarte
Camie
Sagiri Izumi
Shuichi Shindou
Caster
Tenman-Tenjin
Asuramaru
Sonic The Hedgehog
Nui Harime
Run
Wolfram Von Bielefeld
Laki Olietta
Chizuru Akaba
Remon Yamano
Nasa Yuzaki
Chi Yamada
Yajirobe
Satan
Yuri Koigakubo
Chika Akatsuki
Ichiko Sakura
Shaiapouf
Miko Yotsuya
Liechtenstein
Bob
Yuuzuki Kiryuu
Leticia Draculair
Dracula
Phosphophyllite
Azusa Murasaka
Opera
Minamo Kurosawa
Kirie Kanoe
Toyohisa Shimazu
Ginji
Shizuma Hanazono
Rei Oogami
Tatsuya Himuro
Chizuru Honshou
Kariya Matou
Sakuya
Rikido Sato
Kirie Motoba
Bojji
Sealand
Yoshihisa Manabe
Lizardman Priest
Damian Desmond
Tsukasa Mizugaki
Koyomi Mizuhara
May
Hajime Kanzaki
Franky
Shouichi Irie
Mimi Tachikawa
Zakuro Fujiwara
Tio Klarus
Rigurd
Myu
Kira Yamato
Kimura
Duo Maxwell
Satotz
Kim Diehl
Rise Kujikawa
Toshiyuki Karasawa
Kaito
Howzer
Lee Yut Lung
Haruka Ouma
Louis James Moriarty
Ryoko Asakura
Denny Brosh
Kamui Of The Woods
Rima Mashiro
Reedus Jonah
Hirato
Fino Bloodstone
Aurora Syalis Goodereste
Takaki Tono
Blackbeard
Daryun
Mizuho Kazami
Kotoko
Kuraudo Oishi
Kenji Kazama
Goemon Hachisuka
Hinako Inui
Trish Una
Jubei Yagyuu
Shun Hashimoto
Gabi
Asuna Kagurazaka
Miuna Shiodome
Kokoa Shuzen
Schrodinger
Sanosuke Harada
Hakuren Oak
Mira Yamana
Akio Fudou
Hakuei Ren
Whis
Yuu Koito
Haruko Kamio
Suu
Sengoku
Mari Makinami Illustrious
Lucky
Kabane Kusaka
Haru Yoshioka
Sylvia Van Hossen
Liliana Kranjcar
Head Teacher
Erina Pendleton
Kogitsune
Subaru
Kousuke Ooshiba
Kanae
Fate Testarossa
Ai Fuyuumi
Yukari Yukino
Keith Claes
Navier Ellie Trovi
Kyosuke Takakura
Silva Zoldyck
Seri Awashima
Entoma Vasilissa Zeta
Naoto Hachioji
Mio Aoyama
Akane Mishima
Briefs
Mii-Kun
Hina Amano
Mikoto Suou
Shuusuke Fuji
East Supreme Kai
Heero Yuy
Burupya
Tarou Sado
Hanzo
Reina Kousaka
Kotaro Tatsumi
Sherry Blendy
Shinobu Wakamiya
Mayuko Nise
Chiaki Minami
Hanamichi Sakuragi
Eijun Sawamura
Rae Amano
Code 001
Father
Darius
Cid Highwind
Muramasa
Dawn
Asseylum Vers Allusia
Akira Takano
Potato
Trish
Goro Sasabe
Kei Nagai
Eris
Daki
I-Pin
Takumu Mayuzumi
Kumiko Oumae
Tsukasa Shishiou
Mako Reizei
Honami Ichinose
Char Aznable
Nanashi
Kneesocks
Shun Aonuma
Cementoss
Anya Flomer
Mira Yoo
Hyesung Kim
Gelus
Lyra
Kuma
Fujioka
Kazuma Mamizuka
March
Ran
Hikari Sakishima
Kouichi Shindou
Kanata Izumi
Gai Kurasawa
Miyo Takano
Thors Snorresson
Chiyochichi
Sho
Colt
Grisha Jaeger
Kasuka Heiwajima
Yuu Kashima
Darry Adai
Broly
Maru
Mana Takamiya
Yumiko Sakaki
Great Sage
Judai Yuki
Leonmitchelli Galette Des Rois
Cantebury
Mayoi Katase
Tae Yamada
Alan Stuart
Dieter
Kirikou Rung
Alter Ego
Gasper Vladi
Rock
Hotaru Shidare
Vulcan Joseph
Cynthia Moore
Kogoro Mori
Moro
Julius Euclius
Peterhausen
Kotomi Tsuda
Teiichi Niiya
Saiko Yonebayashi
Sharon Rainsworth
Chihiro Shindou
Kaitou Kuroba
Chimaera
Fitoria
Hiiragi Kashima
Mafuyu Oribe
Ekaterina Kurae
Misao Makimachi
Nozomi Kiriya
Hozuki
Yuzuki
Takashi Kosuda
Kai Hiwatari
Eve Thylm
Rose
Sylphid
Yuri Jahad
Ryo Yoake
Klaus Lunette
Shampoo
Ms. Smith
Yuuri Makita
Rena Kariu
Sally
Houshou Takigawa
Choujuurou
Mukuro Ikusaba
Nadeshiko Kagamihara
Radish Spirit
Bathym De Alaindelon
Touji Ato
Henry Henderson
Kiyoomi Sakusa
Charlotte
Mari Watanabe
Shikadai
Yuko Kinoshita
Natsuki Minamiya
Mikan Tsumiki
Nine Forton
Raki
Ken Sugisaki
Kenny Ackerman
Koujaku
Miwa Yamamura
Harumi Taniguchi
Kumagami
Gabriel Tenma White
Petelgeuse Romanee-Conti
Emma Sano
Gene Starwind
Tatsuya Himekawa
Pannacotta Fugo
Lindel
Shuusuke Amagai
Gauche Suede
Kyousuke Irie
Anzu
Hakufu Sonsaku
Nodoka Miyazaki
Seiji Amasawa
Jouji Saiga
Yuuki Tenpouin
Shizuku Kurogane
Arslan
Yuuma Kuga
Tokaku Azuma
Megumi Sakura
Kota Izumi
Iris Cannary
Mutsumi Mitsuba
Minko Tsurugi
Seidou Takizawa
Eleonora Viltaria
Sumire Kano
Thompson
Akari
Hampnie Hambart
Harutora Tsuchimikado
Reimi Sugimoto
Johann Faust Viii
Fumino Furuhashi
Cow Girl
Nahoya Kawata
Bernkastel
Beans
Diabel
Galatea
Kureha Sakamachi
Yoshifumi Aoki
Kanna Makino
Moffle
Kuina
Anzu Mazaki
Nadeshiko Fujisaki
Mairu Orihara
Peko Pekoyama
Sicily Von Claude
Inga
Mamejirou
Lord Boros
Edgar Allan Poe
Hideri Kanzaki
Hero
Zorome
Oodanna
Chomesuke
Kouha Ren
Quin
Ikta Solork
Reever Wenham
Holland Novak
Ponzu
Tsukushi Tsutsukakushi
Kaoru Tsunashi
Haru Kaidou
Mary
Rintarou Suna
Paprika
Ryunosuke Umemiya
Rumia Tingel
Shinobu Maehara
Mafuyu Shiina
Shintarou Natsume
Millhiore Firianno Biscotti
Titus Alexius
Haruhiro
Victor
Mr. 3
Michiru Matsushima
Mafuyu Hoshikawa
Dondochakka Bilstin
Ranko Hata
Kururi Orihara
Anaak Jahad
Meme Touwa
Gunther Schultz
Yuuri Wakasa
Mikoto Aiura
Yunan
Meiko Shiraki
Guiche De Gramont
Nanako Dojima
Havoc
Timber
Suzie Q
Ruri
Micchon Shikimori
Takenaga Oda
Lory Takarada
Yotsuba Koiwai
Neko Kuroha
Nozomu Ezomori
Tasuku Kurosaki
Zelgadis Graywords
Rin Natsume
Airi Sakura
Chizuru Aizawa
Dark Magician Girl
Maria Akizuki
Hana Uzaki
Loki Laevatein
Gazef Stronoff
Yuki Yoshida
Menchi
Hinata Okano
Iori Kitahara
Ringo-Chan
Cassim
Kazuki Kazami
Yoshiharu Hisomu
Byakuya Ishigami
Skip
Froi Tiedoll
Yoshiyuki Hatori
Vignette Tsukinose April
Marguerite
Heine Wittgenstein
Kenta Usui
Marry Kozakura
Satoshi Houjou
Ryuusuke Minami
Lily Shiraishi
Favaro Leone
Lacus Clyne
Pell
Miharu Sena Kanaka
Tooru Ichii
Miku Izayoi
Ikuno
Hitoha Marui
Garterbelt
Nako Oshimizu
